"","Type","Cluster"
"1",1,1
"2",1,1
"3",1,1
"4",1,1
"5",1,2
"6",1,1
"7",1,1
"8",1,1
"9",1,1
"10",1,1
"11",1,1
"12",1,1
"13",1,1
"14",1,1
"15",1,1
"16",1,1
"17",1,1
"18",1,1
"19",1,1
"20",1,1
"21",1,1
"22",1,1
"23",1,1
"24",1,1
"25",1,1
"26",1,2
"27",1,1
"28",1,1
"29",1,1
"30",1,1
"31",1,1
"32",1,1
"33",1,1
"34",1,1
"35",1,1
"36",1,1
"37",1,1
"38",1,1
"39",1,1
"40",1,1
"41",1,1
"42",1,1
"43",1,1
"44",1,1
"45",1,1
"46",1,1
"47",1,1
"48",1,1
"49",1,1
"50",1,1
"51",1,1
"52",1,1
"53",1,1
"54",1,1
"55",1,1
"56",1,1
"57",1,1
"58",1,1
"59",1,1
"60",2,3
"61",2,1
"62",2,1
"63",2,1
"64",2,1
"65",2,1
"66",2,1
"67",2,1
"68",2,1
"69",2,1
"70",2,1
"71",2,1
"72",2,1
"73",2,1
"74",2,2
"75",2,1
"76",2,1
"77",2,1
"78",2,1
"79",2,1
"80",2,1
"81",2,1
"82",2,1
"83",2,1
"84",2,1
"85",2,1
"86",2,1
"87",2,1
"88",2,1
"89",2,1
"90",2,1
"91",2,1
"92",2,1
"93",2,1
"94",2,1
"95",2,1
"96",2,1
"97",2,1
"98",2,1
"99",2,1
"100",2,1
"101",2,1
"102",2,1
"103",2,1
"104",2,1
"105",2,1
"106",2,1
"107",2,1
"108",2,1
"109",2,1
"110",2,1
"111",2,1
"112",2,1
"113",2,1
"114",2,1
"115",2,1
"116",2,1
"117",2,1
"118",2,1
"119",2,1
"120",2,1
"121",2,1
"122",2,2
"123",2,2
"124",2,1
"125",2,1
"126",2,1
"127",2,1
"128",2,2
"129",2,1
"130",2,1
"131",3,1
"132",3,1
"133",3,1
"134",3,1
"135",3,1
"136",3,1
"137",3,1
"138",3,1
"139",3,1
"140",3,1
"141",3,1
"142",3,1
"143",3,1
"144",3,1
"145",3,1
"146",3,1
"147",3,1
"148",3,1
"149",3,1
"150",3,1
"151",3,1
"152",3,1
"153",3,1
"154",3,1
"155",3,1
"156",3,1
"157",3,1
"158",3,1
"159",3,1
"160",3,1
"161",3,1
"162",3,1
"163",3,1
"164",3,1
"165",3,1
"166",3,1
"167",3,1
"168",3,1
"169",3,1
"170",3,1
"171",3,1
"172",3,1
"173",3,1
"174",3,1
"175",3,1
"176",3,1
"177",3,1
"178",3,1
